@echo off
@table piarc
@mode list
@istru tag, starttime, endtime, count
@ostru tag, value, time, status
@ostru ...
10CJA00DE100.XQ20,01-Oct-2012 00:00:00, 01-Oct-2012 01:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 00:00:00, 01-Oct-2012 01:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 01:00:00, 01-Oct-2012 02:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 01:00:00, 01-Oct-2012 02:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 02:00:00, 01-Oct-2012 03:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 02:00:00, 01-Oct-2012 03:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 03:00:00, 01-Oct-2012 04:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 03:00:00, 01-Oct-2012 04:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 04:00:00, 01-Oct-2012 05:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 04:00:00, 01-Oct-2012 05:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 05:00:00, 01-Oct-2012 06:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 05:00:00, 01-Oct-2012 06:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 06:00:00, 01-Oct-2012 07:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 06:00:00, 01-Oct-2012 07:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 07:00:00, 01-Oct-2012 08:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 07:00:00, 01-Oct-2012 08:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 08:00:00, 01-Oct-2012 09:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 08:00:00, 01-Oct-2012 09:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 09:00:00, 01-Oct-2012 10:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 09:00:00, 01-Oct-2012 10:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 10:00:00, 01-Oct-2012 11:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 10:00:00, 01-Oct-2012 11:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 11:00:00, 01-Oct-2012 12:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 11:00:00, 01-Oct-2012 12:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 12:00:00, 01-Oct-2012 13:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 12:00:00, 01-Oct-2012 13:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 13:00:00, 01-Oct-2012 14:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 13:00:00, 01-Oct-2012 14:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 14:00:00, 01-Oct-2012 15:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 14:00:00, 01-Oct-2012 15:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 15:00:00, 01-Oct-2012 16:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 15:00:00, 01-Oct-2012 16:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 16:00:00, 01-Oct-2012 17:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 16:00:00, 01-Oct-2012 17:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 17:00:00, 01-Oct-2012 18:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 17:00:00, 01-Oct-2012 18:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 18:00:00, 01-Oct-2012 19:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 18:00:00, 01-Oct-2012 19:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 19:00:00, 01-Oct-2012 20:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 19:00:00, 01-Oct-2012 20:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 20:00:00, 01-Oct-2012 21:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 20:00:00, 01-Oct-2012 21:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 21:00:00, 01-Oct-2012 22:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 21:00:00, 01-Oct-2012 22:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 22:00:00, 01-Oct-2012 23:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 22:00:00, 01-Oct-2012 23:00:00 ,1
10CJA00DE100.XQ20,01-Oct-2012 23:00:00, 02-Oct-2012 00:00:00 ,1
10CJA00DE100.XQ20I,01-Oct-2012 23:00:00, 02-Oct-2012 00:00:00 ,1
10CJA00DE100.XQ20,02-Oct-2012 00:00:00, 02-Oct-2012 01:00:00 ,1
10CJA00DE100.XQ20I,02-Oct-2012 00:00:00, 02-Oct-2012 01:00:00 ,1
10CJA00DE100.XQ20,02-Oct-2012 01:00:00, 02-Oct-2012 02:00:00 ,1
10CJA00DE100.XQ20I,02-Oct-2012 01:00:00, 02-Oct-2012 02:00:00 ,1
10CJA00DE100.XQ20,02-Oct-2012 02:00:00, 02-Oct-2012 03:00:00 ,1
10CJA00DE100.XQ20I,02-Oct-2012 02:00:00, 02-Oct-2012 03:00:00 ,1
10CJA00DE100.XQ20,02-Oct-2012 03:00:00, 02-Oct-2012 04:00:00 ,1
10CJA00DE100.XQ20I,02-Oct-2012 03:00:00, 02-Oct-2012 04:00:00 ,1
10CJA00DE100.XQ20,02-Oct-2012 04:00:00, 02-Oct-2012 05:00:00 ,1
10CJA00DE100.XQ20I,02-Oct-2012 04:00:00, 02-Oct-2012 05:00:00 ,1
